#c_date	cloud
109836237	0.875
109845708	1
109903712	1
109913180	1
109922647	1
109932115	1
109990130	0.625
109999594	1
110009057	0.375
110018521	0.375
110076548	0.75
110086007	1
110095467	1
110104926	1
110162967	0.75
110172421	1
110181876	1
110191330	1
110249387	0.75
110258836	1
110268284	1
110277733	0.625
110335808	1
110345250	1
110354693	0.875
110364135	1
110422229	0.625
110431664	1
110441100	1
110450535	1
110508651	0
110518079	0
110527507	0
110536935	0
110595073	0
110604493	0
110613913	0
110623333	0
110681496	0
110690907	0
110700319	0
110709730	0
110767919	0
110777321	0
110786723	0
110796125	0
110854343	0
110863735	0
110873128	0
110882520	0.375
110940768	0
110950150	0
110959531	0
110968913	0
111027193	0.5
111036564	0.625
111045934	0.75
111055305	0.875
111113618	0.5
111122977	0.75
111132336	1
111141695	1
111200044	1
111209391	0.625
111218737	0.25
111228084	0.25
111286470	1
111295804	1
111305138	1
111314472	1
111372897	0.125
111382218	0
111391538	0
111400859	0
111459323	0
111468630	0
111477938	0
111487245	0
111545751	0
111555044	0
111564336	0
111573629	0
111632178	0.25
111641456	0.625
111650733	0.875
111660011	0.875
111718606	1
111727868	1
111737131	0.375
111746393	0
111805034	1
111814280	1
111823527	1
111832773	1
111891462	0
111900692	0
111909922	0
111919152	0
111977890	0
111987103	0
111996317	0
112005530	0
112064319	0
112073515	0
112082710	0.25
112091906	0
112150748	0
112159926	0
112169103	0
112178281	0
112237176	0
112246335	0
112255495	0
112264654	0
112323605	0
112332746	0
112341886	0
112351027	0
112410035	0
112419156	0
112428277	0
112437398	0.125
112496464	0.25
112505565	0.375
112514667	0.5
112523768	0.5
112582893	0.625
112591974	0.625
112601055	0.75
112610136	0.75
112669323	0.375
112678383	0.5
112687444	0.75
112696504	0.125
112755752	0.625
112764791	0.625
112773831	0.125
112782870	0.125
112842181	0
112851199	0
112860216	0
112869234	0
112928611	0
112937607	0
112946602	0
112955598	0
113015041	0
113024014	0
113032987	0
113041960	0
113101470	0
113110420	0
113119371	0
113128321	0
113187900	0
113196827	0
113205754	0
113214681	0
113274329	0
113283233	0.125
113292136	0.5
113301040	0.875
113360759	0.875
113369638	0.875
113378518	0.5
113387397	0.875
113447188	0
113456043	0
113464899	0.125
113473754	0.125
113533618	0
113542448	0
113551279	0
113560109	0
113620047	0.125
113628852	0.125
113637658	0
113646463	0
113706477	0
113715257	0
113724036	0
113732816	0
113792906	0
113801660	0
113810414	0
113819168	0
113879336	0
113888063	0
113896791	0
113905518	0
113965765	0
113974466	0
113983167	0.25
113991868	0.375
114052194	0.25
114060868	0.25
114069543	0.375
114078217	0.25
114138623	0.625
114147270	0.75
114155917	1
114164564	1
114225053	0.125
114233672	0.25
114242292	0.125
114250911	0
114311482	0
114320073	0
114328665	0
114337256	0
114397911	0
114406474	0
114415038	0
114423601	0
114484340	0
114492875	0.125
114501410	0
114509945	0
114570769	0.25
114579275	0.25
114587781	0.125
114596287	0.25
114657198	0.875
114665675	0.625
114674152	0.25
114682629	0.25
114743627	0.125
114752075	0.125
114760522	0.125
114768970	0.125
114830056	0.375
114838474	0.375
114846892	1
114855310	1
114916485	1
114924873	0.5
114933261	0.125
114941649	0
115002914	0
115011272	0
115019629	0
115027987	0
115089343	0
115097670	0
115105998	0
115114325	0
115175772	0.5
115184068	0.375
115192365	0.375
115200661	0.125
115262201	0.875
115270466	0.875
115278732	0.875
115286997	0.875
115348630	1
115356864	1
115365099	1
115373333	1
115435059	1
115443262	1
115451464	1
115459667	1
115521488	1
115529659	1
115537830	1
115546001	1
115607917	1
115616056	1
115624195	1
115632334	1
115694346	0.5
115702453	0.875
115710559	0.75
115718666	0.625
115780776	0.5
115788850	0.875
115796924	0.625
115804998	0.875
115867205	0.875
115875246	0.875
115883288	1
115891329	1
115953634	1
115961642	1
115969651	1
115977659	1
116040064	0.75
116048039	0.5
116056014	0.75
116063989	1
116126494	1
116134436	0.875
116142377	0.875
116150319	0.875
116212923	1
116220831	1
116228740	0.875
116236648	0.5
116299353	0
116307227	0
116315102	0
116322976	0
116385783	0.75
116393623	0.25
116401464	0.125
116409304	0
116472214	0.875
116480020	0.75
116487826	0.125
116495632	0
116558644	0.125
116566416	0
116574187	0.25
116581959	0.5
116645075	1
116652812	1
116660548	1
116668285	1
116731506	0
116739208	0
116746910	0.125
116754612	0.375
116817937	0
116825604	0
116833271	0
116840938	0
116904368	0
116912000	0
116919631	0
116927263	0
116990800	0
116998396	0
117005993	0
117013589	0
117077232	0
117084793	0
117092353	0
117099914	0
117163664	0
117171189	0
117178714	0
117186239	0
117250096	0
117257585	0
117265074	0
117272563	0
117336529	0
117343982	0
117351435	0
117358888	0
117422962	0.25
117430379	0.625
117437795	0.375
117445212	0.25
117509395	0
117516775	0
117524156	0
117531536	0
117595829	0.375
117603173	0.25
117610516	0.125
117617860	0.125
117682263	0.625
117689570	0.625
117696877	0.375
117704184	0.375
117768698	0
117775968	0
117783238	0
117790508	0
117855133	0
117862366	0
117869599	0
117876832	0
117941568	0.375
117948764	0.25
117955960	0.125
117963156	0
118028004	0.5
118035163	0.375
118042321	0.375
118049480	0.375
118114440	0.5
118121561	0.625
118128683	0.5
118135804	0.5
118200876	1
118207960	1
118215044	1
118222128	1
118287313	0.625
118294359	0.125
118301406	0.125
118308452	0
118373751	0.5
118380759	0.375
118387768	0.375
118394776	0.125
118460189	0.375
118467160	0.5
118474130	0.5
118481101	0.5
118546628	0.25
118553560	0.375
118560493	0.375
118567425	0.375
118633067	1
118639961	1
118646856	1
118653750	1
118719506	0.625
118726362	0.375
118733219	0.125
118740075	0
118805946	0
118812764	0
118819583	0.25
118826401	0.5
118892387	0.625
118899167	0.625
118905947	0.625
118912727	0.625
118978828	0.25
118985570	0.5
118992311	0.375
118999053	0.125
119065270	0
119071973	0
119078676	0
119085379	0.25
119151712	0
119158377	0
119165041	0
119171706	0
119238155	0
119244781	0
119251407	0
119258033	0.125
119324598	0
119331186	0
119337773	0
119344361	0.125
119411042	0.25
119417591	0.375
119424141	0.5
119430690	0.375
119497487	0.375
119503998	0.625
119510508	0.25
119517019	0.25
119583932	0.125
119590404	0.125
119596876	0.125
119603348	0
119670378	0
119676811	0
119683245	0
119689678	0
119756824	0.125
119763219	0.125
119769614	0.125
119776009	0.125
119843271	0.25
119849627	0.125
119855984	0
119862340	0
119929719	0
119936037	0
119942354	0
119948672	0.125
120016167	0.625
120022446	0.75
120028726	0.875
120035005	0.875
120102616	0.875
120108857	0.625
120115097	0.75
120121338	0.625
120189065	0
120195268	0
