#s_date	seeing
23505600	0.491261
23505900	0.477933
23506200	0.46399
23506500	0.48091
23506800	0.430493
23507100	0.469255
23507400	0.471405
23507700	0.488986
23508000	0.573554
23508300	0.570033
23508600	0.585081
23508900	0.612522
23509200	0.599223
23509500	0.659175
23509800	0.662209
23510100	0.610076
23510400	0.634269
23510700	0.735633
23511000	0.759238
23511300	0.840358
23511600	0.837025
23511900	0.85889
23512200	0.851962
23512500	0.87182
23512800	0.853878
23513100	0.928231
23513400	1.00017
23513700	0.990954
23514000	0.861844
23514300	0.956283
23514600	0.984891
23514900	1.08004
23515200	1.0629
23515500	1.09128
23515800	0.997992
23516100	0.990182
23516400	0.891253
23516700	0.787838
23517000	0.696578
23517300	0.746367
23517600	0.81395
23517900	0.701436
23518200	0.680657
23518500	0.664002
23518800	0.639385
23519100	0.605859
23519400	0.675929
23519700	0.74524
23520000	0.652537
23520300	0.663953
23520600	0.729025
23520900	0.740561
23521200	0.701407
23521500	0.672911
23521800	0.649653
23522100	0.685703
23522400	0.781578
23522700	0.820262
23523000	0.77819
23523300	0.840117
23523600	0.700963
23523900	0.80907
23524200	0.865245
23524500	0.869932
23524800	0.921592
23525100	0.886482
23525400	1.0073
23525700	1.05161
23526000	0.958717
23526300	0.90671
23526600	0.999984
23526900	1.18908
23527200	1.24825
23527500	1.14636
23527800	1.01315
23528100	0.998239
23528400	1.08233
23528700	0.961472
23529000	1.00169
23529300	0.952851
23529600	0.897298
23529900	0.91562
23530200	0.966737
23530500	0.9853
23530800	1.07606
23531100	0.984324
23531400	0.888099
23531700	0.904722
23532000	0.846592
23532300	0.88651
23532600	0.788089
23532900	0.68416
23533200	0.774402
23533500	0.835377
23533800	0.791342
23534100	0.757507
23534400	0.729172
23534700	0.764153
23535000	0.835459
23535300	0.761309
23535600	0.800511
23535900	0.720479
23536200	0.782949
23536500	0.64941
23536800	0.770594
23537100	0.955665
23537400	0.801565
23537700	0.769986
23538000	0.714388
23538300	0.744021
23538600	0.755678
23538900	0.85857
23539200	0.885348
23539500	0.760296
23539800	0.73072
23540100	0.751745
23540400	0.703441
23540700	0.727992
23541000	0.62481
23541300	0.641651
23541600	0.680476
23541900	0.731928
23542200	0.871049
23542500	0.832127
23542800	0.757475
23543100	0.731654
23543400	0.827896
23543700	0.789916
23544000	0.696459
23544300	0.700318
23544600	0.652538
23544900	0.62548
23545200	0.587655
23545500	0.51474
23545800	0.597145
23546100	0.615152
23546400	0.657007
23546700	0.686905
23547000	0.679542
23547300	0.572449
23547600	0.538877
23547900	0.65605
23548200	0.629927
23548500	0.548275
23548800	0.583023
23549100	0.554523
23549400	0.456055
23549700	0.542705
23550000	0.563128
23550300	0.563847
23550600	0.571148
23550900	0.628456
23551200	0.623781
23551500	0.619911
23551800	0.546248
23552100	0.446774
23552400	0.392471
23552700	0.481399
23553000	0.468344
23553300	0.492567
23553600	0.489135
23553900	0.446701
23554200	0.463017
23554500	0.508686
23554800	0.645903
23555100	0.748142
23555400	0.803689
23555700	0.752663
23556000	0.744358
23556300	0.766886
23556600	0.712732
23556900	0.713621
23557200	0.668079
23557500	0.679142
23557800	0.725898
23558100	0.723483
23558400	0.704048
23558700	0.692359
23559000	0.827408
23559300	0.886187
23559600	0.830287
23559900	0.774247
23560200	0.707274
23560500	0.794138
23560800	0.860663
23561100	0.955659
23561400	0.938589
23561700	0.976505
23562000	0.75666
23562300	0.703676
23562600	0.70683
23562900	0.692884
23563200	0.681844
23563500	0.674766
23563800	0.728697
23564100	0.685165
23564400	0.702373
23564700	0.743072
23565000	0.833691
23565300	0.7902
23565600	0.815315
23565900	0.866195
23566200	0.860231
23566500	0.853578
23566800	0.725601
23567100	0.644918
23567400	0.786245
23567700	0.699909
23568000	0.636014
23568300	0.65627
23568600	0.682923
23568900	0.701889
23569200	0.670366
23569500	0.708241
23569800	0.716038
23570100	0.705134
23570400	0.703779
23570700	0.660556
23571000	0.656813
23571300	0.645838
23571600	0.59679
23571900	0.576721
23572200	0.538971
23572500	0.517427
23572800	0.511905
23573100	0.496496
23573400	0.486312
23573700	0.54952
23574000	0.543659
23574300	0.5297
23574600	0.543385
